x,y,z
562769.5719925299,6186410.253183728,146.75341796875
562769.5719925299,6186410.253183728,146.75341796875
562769.5719925299,6186410.253183728,146.75343322753906
562769.5719925299,6186410.253183728,146.75344848632812
562769.5719925299,6186410.253183728,146.75344848632812
562769.5719925299,6186410.253183728,146.75344848632812
562769.5718575919,6186410.262511759,146.75343322753906
562769.5718575919,6186410.262511759,146.75340270996094
562769.5718575919,6186410.262511759,146.75335693359375
562769.5718575919,6186410.262511759,146.7532958984375
562769.5771092856,6186410.26258773,146.7528839111328
562769.5718575919,6186410.262511759,146.75282287597656
562769.5718575919,6186410.262511759,146.7527618408203
562769.5718575919,6186410.262511759,146.75271606445312
562769.5717226538,6186410.271839788,146.75267028808594
562769.5717226538,6186410.271839788,146.75267028808594
562769.5717226538,6186410.271839788,146.75271606445312
562769.5717226538,6186410.271839788,146.75277709960938
562769.5717226538,6186410.271839788,146.75283813476562
562769.5715877158,6186410.28116782,146.7529296875
562769.5715877158,6186410.28116782,146.7530059814453
562769.5715877158,6186410.28116782,146.75311279296875
562769.5715877158,6186410.28116782,146.75320434570312
562769.5714527777,6186410.29049585,146.75331115722656
562769.5714527777,6186410.29049585,146.75340270996094
562769.5714527777,6186410.29049585,146.7534942626953
562769.5714527777,6186410.29049585,146.7535858154297
562769.5714527777,6186410.29049585,146.753662109375
562769.5713178397,6186410.29982388,146.7532196044922
562769.5713178397,6186410.29982388,146.7532958984375
562769.5713178397,6186410.29982388,146.75335693359375
562769.5711829016,6186410.309151912,146.75341796875
562769.5711829016,6186410.309151912,146.7534637451172
562769.5711829016,6186410.309151912,146.7534942626953
562769.5710479636,6186410.318479942,146.75350952148438
562769.5710479636,6186410.318479942,146.75352478027344
562769.5709130255,6186410.327807973,146.75350952148438
562769.5709130255,6186410.327807973,146.75347900390625
562769.5709130255,6186410.327807973,146.7534637451172
562769.5707780875,6186410.337136003,146.75343322753906
562769.5707780875,6186410.337136003,146.75343322753906
562769.5707780875,6186410.337136003,146.75343322753906
562769.5706431494,6186410.346464034,146.7534637451172
562769.5705082114,6186410.355792065,146.75352478027344
562769.5705082114,6186410.355792065,146.753662109375
562769.5703732733,6186410.365120095,146.75331115722656
562769.5702383353,6186410.374448125,146.75352478027344
562769.5702383353,6186410.374448125,146.75363159179688
562769.5701033972,6186410.383776156,146.75376892089844
562769.5701033972,6186410.383776156,146.75389099121094
562769.5699684592,6186410.393104187,146.75401306152344
562769.5699684592,6186410.393104187,146.75411987304688
562769.5698335211,6186410.402432217,146.7542266845703
562769.5698335211,6186410.402432217,146.7543182373047
562769.5696985831,6186410.411760247,146.75442504882812
562769.5696985831,6186410.411760247,146.7545166015625
562769.5695636452,6186410.421088278,146.75462341308594
562769.5695636452,6186410.421088278,146.75473022460938
562769.569428707,6186410.430416309,146.7548370361328
562769.569293769,6186410.439744339,146.75494384765625
562769.569293769,6186410.439744339,146.75506591796875
562769.5691588309,6186410.44907237,146.7552032470703
562769.5691588309,6186410.44907237,146.75535583496094
562769.5690238929,6186410.4584004,146.75552368164062
562769.5688889548,6186410.467728431,146.75514221191406
562769.5687540168,6186410.477056462,146.75535583496094
562769.5687540168,6186410.477056462,146.75558471679688
562769.5686190787,6186410.486384492,146.75587463378906
562769.5684841407,6186410.495712523,146.7561798095703
562769.5684841407,6186410.495712523,146.7565155029297
562769.5683492026,6186410.505040554,146.7568817138672
562769.5682142647,6186410.514368584,146.75726318359375
562769.5680793265,6186410.523696615,146.7576446533203
562769.5680793265,6186410.523696615,146.75804138183594
562769.5679443885,6186410.533024646,146.7584228515625
562769.5678094504,6186410.542352677,146.7587890625
562769.5676745124,6186410.551680706,146.75914001464844
562769.5675395743,6186410.5610087365,146.759765625
562769.5672696983,6186410.579664798,146.76031494140625
562769.5671347602,6186410.5889928285,146.7605438232422
562769.5669998222,6186410.5983208595,146.76075744628906
562769.5668648841,6186410.60764889,146.76097106933594
562769.5719816395,6186410.61705289,146.76046752929688
562769.5718467014,6186410.626380921,146.7606658935547
562769.5717117634,6186410.635708952,146.76084899902344
562769.5717117634,6186410.635708952,146.76101684570312
562769.5715768253,6186410.645036983,146.76119995117188
562769.5714418873,6186410.654365012,146.76136779785156
562769.5713069492,6186410.663693044,146.76156616210938
562769.5711720111,6186410.673021073,146.76174926757812
562769.571037073,6186410.682349105,146.76194763183594
562769.570902135,6186410.691677135,146.7621612548828
562769.570767197,6186410.701005166,146.76239013671875
562769.5706322589,6186410.710333196,146.7626190185547
562769.5703623828,6186410.7289892575,146.76283264160156
562769.5702274446,6186410.738317288,146.76304626464844
562769.5700925066,6186410.747645319,146.7632598876953
562769.5699575685,6186410.7569733495,146.7634735107422
562769.5698226305,6186410.7663013805,146.76368713378906
562769.5696876924,6186410.7756294105,146.763916015625
562769.5695527544,6186410.7849574415,146.76412963867188
562769.5694178164,6186410.7942854725,146.76434326171875
562769.5743996338,6186410.813017504,146.76429748535156
562769.5742646956,6186410.822345535,146.7644500732422
562769.5739948195,6186410.841001595,146.7646942138672
562769.5738598815,6186410.850329626,146.76478576660156
562769.5735900053,6186410.868985687,146.76486206054688
