x,y,z
563032.8904045738,6187073.244085643,148.78517150878906
563032.8904045738,6187073.244085643,148.78517150878906
563032.8956554676,6187073.244161937,148.78518676757812
563032.8956554676,6187073.244161937,148.78518676757812
563032.8956554676,6187073.244161937,148.78518676757812
563032.9009063612,6187073.244238232,148.78521728515625
563032.9009063612,6187073.244238232,148.7852325439453
563032.9009063612,6187073.244238232,148.78524780273438
563032.906157255,6187073.244314526,148.78524780273438
563032.906157255,6187073.244314526,148.78524780273438
563032.906157255,6187073.244314526,148.7852325439453
563032.9114081489,6187073.244390821,148.7852020263672
563032.9114081489,6187073.244390821,148.78518676757812
563032.9114081489,6187073.244390821,148.78517150878906
563032.9114081489,6187073.244390821,148.78514099121094
563032.9166590424,6187073.244467115,148.7851104736328
563032.9166590424,6187073.244467115,148.78504943847656
563032.9219099362,6187073.24454341,148.7850341796875
563032.9219099362,6187073.24454341,148.78497314453125
563032.9271608302,6187073.244619705,148.7849578857422
563032.9271608302,6187073.244619705,148.7849578857422
563032.9324117237,6187073.244695998,148.78494262695312
563032.9324117237,6187073.244695998,148.78494262695312
563032.9324117237,6187073.244695998,148.78494262695312
563032.9376626175,6187073.244772293,148.78494262695312
563032.9376626175,6187073.244772293,148.78494262695312
563032.9376626175,6187073.244772293,148.78494262695312
563032.9429135111,6187073.244848587,148.78494262695312
563032.9429135111,6187073.244848587,148.78492736816406
563032.948164405,6187073.2449248815,148.7847137451172
563032.948164405,6187073.2449248815,148.7847137451172
563032.948164405,6187073.2449248815,148.7847137451172
563032.9534152988,6187073.245001176,148.7847137451172
563032.9534152988,6187073.245001176,148.7847137451172
563032.9586661924,6187073.245077471,148.78472900390625
563032.9586661924,6187073.245077471,148.7847442626953
563032.9639170863,6187073.245153765,148.78475952148438
563032.9639170863,6187073.245153765,148.7847442626953
563032.9691679801,6187073.245230059,148.78472900390625
563032.9691679801,6187073.245230059,148.78469848632812
563032.9744188737,6187073.245306354,148.7845916748047
563032.9796697675,6187073.245382649,148.78453063964844
563032.9796697675,6187073.245382649,148.7844696044922
563032.984920661,6187073.245458944,148.7843780517578
563032.990171555,6187073.245535238,148.7842254638672
563032.990171555,6187073.245535238,148.78416442871094
563032.9954224488,6187073.245611533,148.78399658203125
563032.9954224488,6187073.245611533,148.78395080566406
563033.0006733423,6187073.245687827,148.78390502929688
563033.0006733423,6187073.245687827,148.78387451171875
563033.0059242361,6187073.245764121,148.78384399414062
563033.01117513,6187073.245840416,148.7838134765625
563033.0164260236,6187073.24591671,148.78379821777344
563033.0164260236,6187073.24591671,148.78379821777344
563033.0216769176,6187073.245993006,148.78378295898438
563033.0269278113,6187073.246069299,148.78379821777344
563033.0269278113,6187073.246069299,148.78379821777344
563033.0321787049,6187073.246145595,148.78382873535156
563033.0374295987,6187073.246221889,148.78384399414062
563033.0374295987,6187073.246221889,148.7838592529297
563033.0426804923,6187073.246298184,148.7838592529297
563033.0479313862,6187073.246374479,148.7838592529297
563033.05318228,6187073.2464507725,148.78384399414062
563033.05318228,6187073.2464507725,148.78382873535156
563033.0636840675,6187073.246603362,148.78408813476562
563033.0689349613,6187073.246679657,148.78404235839844
563033.0689349613,6187073.246679657,148.7839813232422
563033.0741858548,6187073.246755951,148.78390502929688
563033.0794367486,6187073.246832246,148.78384399414062
563033.0846876426,6187073.24690854,148.7837677001953
563033.089938536,6187073.246984835,148.78370666503906
563033.0951894299,6187073.247061129,148.78363037109375
563033.0951894299,6187073.247061129,148.7835693359375
563033.1004403235,6187073.247137424,148.78350830078125
563033.1056912174,6187073.2472137185,148.78346252441406
563033.1109421112,6187073.247290012,148.7834014892578
563033.1214438986,6187073.247442602,148.78330993652344
563033.1266947925,6187073.247518897,148.7832794189453
563033.1319456861,6187073.247595193,148.7832489013672
563033.13719658,6187073.247671487,148.78321838378906
563033.1424474734,6187073.247747782,148.783203125
563033.1476983672,6187073.247824076,148.78318786621094
563033.1529492612,6187073.2479003705,148.78317260742188
563033.1582001547,6187073.247976665,148.78346252441406
563033.1634510485,6187073.24805296,148.783447265625
563033.1687019424,6187073.248129255,148.783447265625
563033.173952836,6187073.24820555,148.78343200683594
563033.1792037298,6187073.248281845,148.78341674804688
563033.1844546237,6187073.24835814,148.78338623046875
563033.1897055173,6187073.248434434,148.78335571289062
563033.1949564111,6187073.248510729,148.7833251953125
563033.2002073046,6187073.2485870235,148.78329467773438
563033.2054581984,6187073.248663319,148.78326416015625
563033.2107090924,6187073.248739613,148.78321838378906
563033.2159599859,6187073.248815909,148.78318786621094
563033.2212108797,6187073.248892203,148.78314208984375
563033.2317126672,6187073.249044792,148.78309631347656
563033.236963561,6187073.249121087,148.78306579589844
563033.2422144549,6187073.249197382,148.7830352783203
563033.2474653485,6187073.249273677,148.78298950195312
563033.2527162423,6187073.249349971,148.782958984375
563033.2632180296,6187073.249502562,148.78292846679688
563033.2684689236,6187073.249578856,148.78289794921875
563033.273719817,6187073.249655151,148.7827606201172
563033.2894724983,6187073.249884035,148.7826690673828
563033.2947233922,6187073.249960331,148.78262329101562
563033.2999742858,6187073.250036626,148.78256225585938
563033.3052251796,6187073.25011292,148.7825164794922
563033.315726967,6187073.25026551,148.78245544433594
563033.320977861,6187073.250341806,148.7823944091797
563033.3263642901,6187073.241090065,148.78233337402344
563033.3368660775,6187073.241242655,148.78225708007812
563033.3421169715,6187073.2413189495,148.7821807861328
563033.3473678649,6187073.241395244,148.7821044921875
563033.3578696523,6187073.241547834,148.7820281982422
563033.3631205462,6187073.24162413,148.7819366455078
563033.3736223336,6187073.24177672,148.7818603515625
563033.3788732275,6187073.241853015,148.78176879882812
563033.3841241214,6187073.241929309,148.78167724609375
563033.3946259088,6187073.242081899,148.78158569335938
563033.3998768028,6187073.242158195,148.781494140625
563033.4103785901,6187073.242310785,148.78140258789062
563033.4208803775,6187073.2424633745,148.781494140625
563033.4261312714,6187073.242539668,148.78140258789062
563033.4313821649,6187073.242615964,148.7813262939453
563033.4523857401,6187073.242921144,148.78115844726562
563033.4681384214,6187073.24315003,148.781005859375
563033.473389315,6187073.243226325,148.7809295654297
563033.4891419963,6187073.243455211,148.78079223632812
563033.499643784,6187073.2436078,148.7807159423828
563033.5101455714,6187073.243760391,148.78065490722656
563033.515396465,6187073.243836686,148.78057861328125
563033.5258982527,6187073.243989277,148.78050231933594
563033.5311491463,6187073.244065572,148.7804412841797
563033.541650934,6187073.244218162,148.78038024902344
563033.5521527214,6187073.244370752,148.78030395507812
