x,y,z
563056.4998520666,6187072.766149823,148.63063049316406
563056.5051029612,6187072.766226145,148.630615234375
563056.5051029612,6187072.766226145,148.63150024414062
563056.5051029612,6187072.766226145,148.63148498535156
563056.5051029612,6187072.766226145,148.63145446777344
563056.5103538556,6187072.766302468,148.6314239501953
563056.5103538556,6187072.766302468,148.6313934326172
563056.5156047501,6187072.76637879,148.63134765625
563056.5156047501,6187072.76637879,148.63131713867188
563056.5156047501,6187072.76637879,148.63128662109375
563056.5156047501,6187072.76637879,148.63125610351562
563056.5208556448,6187072.766455114,148.63124084472656
563056.5208556448,6187072.766455114,148.63121032714844
563056.5208556448,6187072.766455114,148.6311798095703
563056.5261065391,6187072.766531437,148.63113403320312
563056.5261065391,6187072.766531437,148.631103515625
563056.5261065391,6187072.766531437,148.6310577392578
563056.5313574338,6187072.7666077595,148.63101196289062
563056.5313574338,6187072.7666077595,148.63096618652344
563056.5313574338,6187072.7666077595,148.63092041015625
563056.5366083285,6187072.766684083,148.63087463378906
563056.5366083285,6187072.766684083,148.63185119628906
563056.5366083285,6187072.766684083,148.63180541992188
563056.5366083285,6187072.766684083,148.63177490234375
563056.5418592227,6187072.766760407,148.6317596435547
563056.5418592227,6187072.766760407,148.63174438476562
563056.5471101174,6187072.766836729,148.6317138671875
563056.5471101174,6187072.766836729,148.63169860839844
563056.5471101174,6187072.766836729,148.63168334960938
563056.552361012,6187072.766913053,148.6316680908203
563056.5576119063,6187072.7669893745,148.63162231445312
563056.5576119063,6187072.7669893745,148.63160705566406
563056.5576119063,6187072.7669893745,148.631591796875
563056.5628628009,6187072.767065698,148.63156127929688
563056.5628628009,6187072.767065698,148.6315460205078
563056.5681136951,6187072.767142021,148.6315155029297
563056.5681136951,6187072.767142021,148.63150024414062
563056.5681136951,6187072.767142021,148.63148498535156
563056.5733645898,6187072.767218344,148.6314697265625
563056.5733645898,6187072.767218344,148.63143920898438
563056.5733645898,6187072.767218344,148.63243103027344
563056.5786154845,6187072.767294667,148.6324005126953
563056.5786154845,6187072.767294667,148.6323699951172
563056.5838663788,6187072.7673709905,148.63233947753906
563056.5838663788,6187072.7673709905,148.63230895996094
563056.5838663788,6187072.7673709905,148.6322784423828
563056.5892528588,6187072.7581192795,148.6322479248047
563056.5892528588,6187072.7581192795,148.63223266601562
563056.5945037535,6187072.758195603,148.63221740722656
563056.5945037535,6187072.758195603,148.6322021484375
563056.5997546477,6187072.758271926,148.63218688964844
563056.5997546477,6187072.758271926,148.63218688964844
563056.6050055424,6187072.758348249,148.6321563720703
563056.6050055424,6187072.758348249,148.63214111328125
563056.6102564371,6187072.758424572,148.6321258544922
563056.6102564371,6187072.758424572,148.63209533691406
563056.6155073313,6187072.7585008945,148.632080078125
563056.6155073313,6187072.7585008945,148.63204956054688
563056.620758226,6187072.758577218,148.6320037841797
563056.620758226,6187072.758577218,148.6329803466797
563056.6260091204,6187072.758653541,148.63296508789062
563056.6260091204,6187072.758653541,148.6329345703125
563056.631260015,6187072.758729864,148.63290405273438
563056.6365109097,6187072.758806188,148.63287353515625
563056.6365109097,6187072.758806188,148.63284301757812
563056.641761804,6187072.758882511,148.63278198242188
563056.6470126986,6187072.758958834,148.63275146484375
563056.6470126986,6187072.758958834,148.63272094726562
563056.6522635933,6187072.759035157,148.6326904296875
563056.6522635933,6187072.759035157,148.63265991210938
563056.6575144875,6187072.75911148,148.6326141357422
563056.6627653822,6187072.759187804,148.63258361816406
563056.6680162766,6187072.759264126,148.6325225830078
563056.6680162766,6187072.759264126,148.6324920654297
563056.6732671711,6187072.759340449,148.6324462890625
563056.6785180658,6187072.759416772,148.63241577148438
563056.6785180658,6187072.759416772,148.63333129882812
563056.6837689602,6187072.759493096,148.63327026367188
563056.6890198548,6187072.75956942,148.63319396972656
563056.6890198548,6187072.75956942,148.63311767578125
563056.6942707495,6187072.759645742,148.63304138183594
563056.6995216438,6187072.759722065,148.63296508789062
563056.6995216438,6187072.759722065,148.6328887939453
563056.7047725384,6187072.759798388,148.6328125
563056.7100234331,6187072.759874712,148.6327362060547
563056.7100234331,6187072.759874712,148.63267517089844
563056.7152743274,6187072.759951035,148.6326141357422
563056.720525222,6187072.760027358,148.63255310058594
563056.720525222,6187072.760027358,148.6324920654297
563056.7257761164,6187072.760103682,148.63246154785156
563056.7310270111,6187072.760180005,148.63241577148438
563056.7362779056,6187072.760256329,148.63232421875
563056.7415288,6187072.760332651,148.63229370117188
563056.7467796946,6187072.760408974,148.6322784423828
563056.7520305893,6187072.760485298,148.63226318359375
563056.7520305893,6187072.760485298,148.6334686279297
563056.7625323782,6187072.760637945,148.63345336914062
563056.7625323782,6187072.760637945,148.6334686279297
563056.7677832729,6187072.760714268,148.6334686279297
563056.7730341672,6187072.76079059,148.6334686279297
563056.7835359562,6187072.760943239,148.6334686279297
563056.7887868509,6187072.7610195605,148.63343811035156
563056.7940377455,6187072.761095884,148.6333770751953
563056.7992886398,6187072.761172207,148.63333129882812
563056.8045395345,6187072.761248531,148.63330078125
563056.8097904291,6187072.761324855,148.6332550048828
563056.8150413234,6187072.761401178,148.63319396972656
563056.8204278039,6187072.752149467,148.6331329345703
563056.8256786981,6187072.75222579,148.63308715820312
563056.8361804875,6187072.752378437,148.63299560546875
563056.8414313818,6187072.752454761,148.63294982910156
563056.8466822765,6187072.752531083,148.6338653564453
563056.8519331712,6187072.752607407,148.6338348388672
563056.8571840655,6187072.75268373,148.63381958007812
563056.8624349602,6187072.752760054,148.63380432128906
563056.8676858548,6187072.752836377,148.6337890625
563056.8729367491,6187072.752912701,148.63380432128906
563056.8781876438,6187072.752989024,148.63380432128906
563056.8834385381,6187072.753065348,148.63380432128906
563056.8886894328,6187072.7531416705,148.63380432128906
563056.8939403275,6187072.753217994,148.63381958007812
563056.9044421164,6187072.753370641,148.6338348388672
563056.9149439053,6187072.753523288,148.63385009765625
